title,type
1. 实现不使用 border 画出 1px 高的线，在不同浏览器的标准模式与怪异模式下都能保持一致的效果。,markdown
2. 介绍一下标准的 CSS 的盒子模型？低版本 IE 的盒子模型有什么不同的？,
3. CSS 隐藏元素的几种方法（至少说出三种）,
4. CSS 清除浮动的几种方法（至少两种）,
5. 页面导入样式时，使用 link 和@import 有什么区别？,
6. 伪元素和伪类的区别？,
7. CSS 选择符有哪些？哪些属性可以继承？优先级算法如何计算？ CSS3 新增伪类有那些？,
8. 行内元素和块级元素的具体区别是什么？行内元素的 padding 和 margin 可设置吗？,
9. 什么是外边距重叠？重叠的结果是什么？,
10. rgba()和 opacity 的透明效果有什么不同？,
11. css 中可以让文字在垂直和水平方向上重叠的两个属性是什么？,
12. px 和 em 的区别。,
13. 如何垂直居中一个元素？,
14. BFC,
15. 用纯 CSS 创建一个三角形的原理是什么？,
16. Sass、LESS 是什么？大家为什么要使用他们？,
17. display:none 与 visibility:hidden 的区别是什么？,
18. 移动端 1px 问题的解决办法,
19. 哪些 css 属性可以继承？,
20. 几种常见的 CSS 布局,
21. li 与 li 之间有看不见的空白间隔是什么原因引起的？有什么解决办法？,
22. 设置元素浮动后，该元素的 display 值是多少？,
23. 怎么让 Chrome 支持小于 12px 的文字？,
24. display:inline-block 什么时候会显示间隙？,
25. png、jpg、gif 这些图片格式解释一下，分别什么时候用？，webp 呢,
26. style 标签写在 body 后与 body 前有什么区别？,
27. 超链接访问过后 hover 样式就不出现的问题是什么？如何解决？,
"28. 什么是 Css Hack？ie6, 7, 8 的 hack 分别是什么？",
29. 重置（resetting）CSS 和 标准化（normalizing）CSS 的区别是什么？你会选择哪种方式，为什么？,
"30. css sprite 是什么, 有什么优缺点",
31. 什么是 FOUC? 如何避免,
32. css3 有哪些新特性,
33. display 有哪些值？说明他们的作用,
34. display:inline-block 什么时候不会显示间隙？(携程),
"35. PNG, GIF, JPG 的区别及如何选",
36. 行内元素 float:left 后是否变为块级元素？,
37. 在网页中的应该使用奇数还是偶数的字体？为什么呢？,
38. CSS 合并方法,
39. 列出你所知道可以改变页面布局的属性,
40. CSS 在性能优化方面的实践,
41. CSS3 动画（简单动画的实现，如旋转等）,
42. base64 的原理及优缺点,
43. stylus/sass/less 区别,
44. position 的值， relative 和 absolute 分别是相对于谁进行定位的？,
45. 对偏移、卷曲、可视的理解,
46. 精灵图和 base64 如何选择？,
47. 如果设计中使用了非标准的字体，你该如何去实现？,
48. 知道 css 有个 content 属性吗？有什么作用？有什么应用？,
49. CSS 选择器的优先级是如何计算的？,
50. 请阐述 Float 定位的工作原理。,
51. 请阐述 z-index 属性，并说明如何形成层叠上下文（stacking context）,
52. 如何解决不同浏览器的样式兼容性问题？,
53. 如何为功能受限的浏览器提供页面？ 使用什么样的技术和流程？,
54. 有什么不同的方式可以隐藏内容（使其仅适用于屏幕阅读器）？,
55. 除了 screen ，你还能说出一个 @media 属性的例子吗？,
56. 编写高效的 CSS 应该注意什么？,
57. 使用 CSS 预处理的优缺点分别是什么？,
58. 对于你使用过的 CSS 预处理，说说喜欢和不喜欢的地方？,
59. 解释浏览器如何确定哪些元素与 CSS 选择器匹配。,
60. 说说你对盒模型的理解，以及如何告知浏览器使用不同的盒模型渲染布局。,
61. * { box-sizing: border-box; } 会产生怎样的效果？,
62. relative 、 fixed 、 absolute 和 static 四种定位有什么区别？,
63. 你使用过哪些现有的 CSS 框架？你是如何改进它们的？,
64. 你了解 CSS Flex 和 Grid 吗？,
65. 响应式设计与自适应设计有何不同？,
66. 你有没有使用过视网膜分辨率的图形？当中使用什么技术？,
67. 什么情况下，用 translate() 而不用绝对定位？什么时候，情况相反。,
68. 一边固定宽度一边宽度自适应,
69. display:none、visibile:hidden、opacity:0 的区别,
70. 文本超出部分显示省略号,
71. 利用伪元素画三角,
72. 过渡与动画的区别是什么,
73. 去除 inline-block 元素间间距的方法,
74. 为什么要初始化 CSS 样式,
75. 行内元素和块级元素有哪些,
76. 设备像素比,
77. ::bofore 和 :after 中双冒号和单冒号有什么区别？,
78. 说下 CSS3 中一些样式的兼容，分别指兼容哪些浏览器,
"79. 有哪些手段可以优化 CSS, 提高性能",
80. 怎么样实现边框 0.  5 个像素？,
81. transform translate transition 的区别,
"82. 请解释一下 CSS3 的 Flexbox（弹性盒布局模型）, 以及适用场景？",
83. 用纯 CSS 创建一个三角形的原理是什么？,
84. 一个满屏 品 字布局 如何设计?,
85. 全屏滚动的原理是什么？用到了 CSS 的那些属性？,
86. 什么是响应式设计？响应式设计的基本原理是什么？如何兼容低版本的 IE？,
87. 如何修改 chrome 记住密码后自动填充表单的黄色背景？,
88. 用 css 分别实现某个 div 元素上下居中和左右居中,
89. 你对 line-height 是如何理解的？,
90. 让页面里的字体变清晰，变细用 CSS 怎么做？,
91. font-style 属性可以让它赋值为“oblique” oblique 是什么意思？,
92. position:fixed; 在 android 下无效怎么处理？,
93. 如果需要手动写动画，你认为最小时间间隔是多久，为什么？,
94. overflow: scroll 时不能平滑滚动的问题怎么处理？,
95. 有一个高度自适应的 div，里面有两个 div，一个高度 100px，希望另一个填满剩下的高度。,
96. postcss 的作用,
97. 自定义字体的使用场景,
98. 如何美化 CheckBox,
99. float 和 display:inline-block 的区别是什么？,
100. rem 布局字体太大怎么处理?,
101. 标准模式与怪异模式的区别,
102. css reset 与 css sprites,
103. IE6 遇到什么 bug？解决办法是？,
104. 介绍css3中position:sticky（网易）,
105. 使用css实现一个持续的动画效果,
106. CSS 优先级算法如何计算？,
107. 关于伪类 LVHA 的解释?,
108. CSS3 新增伪类有那些？,
109. 如何居中 div？,
110. display 有哪些值？说明他们的作用。,
111. position 的值 relative 和 absolute 定位原点是？,
